Class Nbr,Subj,CRS,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
95579,MEC,402,Mechanical Vibrations,,LEC,90,3,MW,2:00 PM,3:20 PM,B205,Seung Bok Choi
95526,MEC,422,Thermal System Design,,LEC,90,3,MW,5:00 PM,6:20 PM,B204,Gun Woong Bahng
96454,MEC,441,Mechanical Engnrng Design II,,LEC,91,3,TUTH,2:00 PM,3:20 PM,B314,Yugene Pak
95689,MEC,488,Mechanical Engnrng Internship,EXP+,TUT,T90,3 to 9,APPT,1:00 AM,1:00 AM,,Hamid Hefazi
95486,MEC,499,Research in Mechanical Engnrng,,TUT,T90,0 to 3,APPT,1:00 AM,1:00 AM,,Hamid Hefazi
95487,MEC,499,Research in Mechanical Engnrng,,TUT,T91,0 to 3,APPT,1:00 AM,1:00 AM,,Yugene Pak
95488,MEC,499,Research in Mechanical Engnrng,,TUT,T92,0 to 3,APPT,1:00 AM,1:00 AM,,Gun Woong Bahng
95489,MEC,499,Research in Mechanical Engnrng,,TUT,T93,0 to 3,APPT,1:00 AM,1:00 AM,,Bruce Jo
95490,MEC,499,Research in Mechanical Engnrng,,TUT,T94,0 to 3,APPT,1:00 AM,1:00 AM,,Changwoon Han
95580,MEC,499,Research in Mechanical Engnrng,,TUT,T95,0 to 3,APPT,1:00 AM,1:00 AM,,Min Yang Yang
95636,MEC,499,Research in Mechanical Engnrng,,TUT,T97,0 to 3,APPT,1:00 AM,1:00 AM,,JONGSEONG CHOI
95679,MEC,499,Research in Mechanical Engnrng,,TUT,T98,0 to 3,APPT,1:00 AM,1:00 AM,,Woong Moo Lee
95623,MEC,501,Conv Heat Transfer and Exchang,,LEC,90,3,F,12:30 PM,3:20 PM,B204,Joon Sik Lee
96397,MEC,507,Mathematical Methods I,,LEC,90,3,TUTH,12:30 PM,1:50 PM,B205,Young-seon Lee
96315,MEC,536,Mechanics of Solids,,LEC,90,3,MW,10:30 AM,11:50 AM,B618,Yugene Pak
95454,MEC,599,Research,,TUT,T90,1 to 12,APPT,1:00 AM,1:00 AM,,Hamid Hefazi
